departure_day_of_week,carrier,origin_airport,destination_airport,arrival_delay_minutes,is_cancelled,direction,dep_weather_temperature_c,dep_weather_dewpoint_c,dep_weather_humidity_pct,dep_weather_pressure_hpa,dep_weather_wind_kph,dep_weather_gust_kph,dep_weather_precip_mm,dep_weather_snow_mm,dep_weather_cloud_cover_pct,dep_weather_condition_code,dep_hour,dep_month,dep_day_of_month,is_delayed
4,DL,BWI,DTW,-14.0,0,departure,7.0,-1.7,54,1023.6,5.6,17.3,0.0,0.0,88,3,17,12,18,0.0
4,DL,DTW,BWI,-18.0,0,arrival,3.7,-2.0,67,1025.7,4.5,13.7,0.0,0.0,2,0,15,12,18,0.0
5,DL,BWI,DTW,26.0,0,departure,11.6,4.6,62,998.7,20.8,46.1,0.1,0.0,42,51,17,12,19,1.0
5,DL,DTW,BWI,4.0,0,arrival,11.6,9.4,87,996.7,14.9,37.8,0.5,0.0,100,53,15,12,19,0.0
6,DL,BWI,DTW,-13.0,0,departure,2.8,-5.7,53,1024.2,6.1,18.4,0.0,0.0,77,2,17,12,20,0.0
6,DL,DTW,BWI,-17.0,0,arrival,0.2,-7.7,56,1026.5,2.8,11.9,0.0,0.0,88,3,15,12,20,0.0
7,DL,BWI,DTW,150.0,0,departure,7.1,-5.6,40,1022.0,21.0,46.1,0.0,0.0,100,3,17,12,21,1.0
7,DL,DTW,BWI,152.0,0,arrival,7.2,-3.3,47,1020.6,12.5,27.4,0.0,0.0,100,3,15,12,21,1.0
1,DL,BWI,DTW,0.0,0,departure,4.2,-11.7,31,1035.1,3.4,16.2,0.0,0.0,13,0,17,12,22,0.0
1,DL,DTW,BWI,-17.0,0,arrival,0.8,-10.4,43,1036.5,2.6,11.9,0.0,0.0,1,0,15,12,22,0.0
2,DL,BWI,DTW,-2.0,0,departure,4.7,2.0,82,1019.4,3.2,10.1,0.0,0.0,100,3,17,12,23,0.0
2,DL,DTW,BWI,-20.0,0,arrival,3.5,1.0,84,1022.1,5.6,16.9,0.0,0.0,100,3,15,12,23,0.0
5,DL,BWI,DTW,14.0,0,departure,0.1,-8.5,53,1021.8,8.9,22.0,0.0,0.0,100,3,17,12,26,0.0
5,DL,DTW,BWI,-11.0,0,arrival,-0.4,-8.8,53,1024.2,8.8,21.2,0.0,0.0,98,3,15,12,26,0.0
6,DL,BWI,DTW,-10.0,0,departure,4.1,-1.5,67,1019.1,8.4,20.9,0.0,0.0,99,3,17,12,27,0.0
6,DL,DTW,BWI,-16.0,0,arrival,2.4,-0.8,79,1019.4,8.7,19.8,0.0,0.0,100,3,15,12,27,0.0
7,DL,BWI,DTW,,1,departure,2.8,-1.2,75,1020.9,8.7,20.9,0.0,0.0,100,3,17,12,28,
7,DL,DTW,BWI,,1,arrival,1.8,-1.8,77,1022.8,8.5,19.8,0.0,0.0,100,3,15,12,28,
1,DL,BWI,DTW,211.0,0,departure,13.6,10.4,81,996.3,25.1,46.8,0.4,0.0,96,51,17,12,29,1.0
1,DL,DTW,BWI,175.0,0,arrival,12.6,10.9,90,996.7,17.0,38.9,0.0,0.0,100,3,15,12,29,1.0
2,DL,BWI,DTW,-13.0,0,departure,0.4,-11.2,41,1012.2,28.6,64.4,0.0,0.0,78,2,17,12,30,0.0
2,DL,DTW,BWI,-7.0,0,arrival,-0.4,-10.8,45,1013.1,24.6,65.5,0.0,0.0,100,3,15,12,30,0.0
4,DL,BWI,MSP,-17.0,0,departure,-0.6,-2.6,87,1024.5,6.4,11.2,0.0,0.0,71,2,11,12,18,0.0
4,DL,MSP,BWI,-1.0,0,arrival,-0.4,-3.5,80,1023.5,5.7,10.1,0.0,0.0,58,2,7,12,18,0.0
5,DL,BWI,MSP,-12.0,0,departure,11.9,11.6,98,998.2,28.6,70.9,3.0,0.0,100,63,11,12,19,0.0
5,DL,MSP,BWI,4.0,0,arrival,11.3,10.7,96,1006.6,22.5,42.5,0.9,0.0,100,53,7,12,19,0.0
4,DL,BWI,ATL,10.0,0,departure,-0.6,-3.5,81,1023.7,6.1,9.0,0.0,0.0,32,1,8,12,18,0.0
5,DL,BWI,ATL,8.0,0,departure,12.0,11.4,96,1004.8,27.6,51.5,1.9,0.0,100,61,8,12,19,0.0
6,DL,BWI,ATL,0.0,0,departure,-2.0,-9.6,56,1021.9,10.5,23.8,0.0,0.0,0,0,8,12,20,0.0
7,DL,BWI,ATL,-4.0,0,departure,3.8,-3.0,61,1016.3,12.3,30.6,0.0,0.0,9,0,8,12,21,0.0
1,DL,BWI,ATL,-17.0,0,departure,-2.4,-7.6,67,1034.1,5.4,11.2,0.0,0.0,0,0,8,12,22,0.0
2,DL,BWI,ATL,-18.0,0,departure,3.2,-3.5,61,1027.4,9.1,21.6,0.0,0.0,100,3,8,12,23,0.0
3,DL,BWI,ATL,-24.0,0,departure,5.2,3.2,86,1016.7,8.0,13.7,0.0,0.0,5,0,8,12,24,0.0
4,DL,BWI,ATL,-38.0,0,departure,2.5,-1.2,76,1023.7,5.3,9.7,0.0,0.0,99,3,8,12,25,0.0
5,DL,BWI,ATL,-24.0,0,departure,-0.1,-7.3,58,1023.5,10.9,23.8,0.0,0.0,90,3,8,12,26,0.0
6,DL,BWI,ATL,-8.0,0,departure,0.6,-0.9,90,1011.0,8.8,16.2,0.0,0.0,100,3,8,12,27,0.0
7,DL,BWI,ATL,,1,departure,0.4,-1.4,88,1024.2,2.7,4.7,0.0,0.0,100,3,8,12,28,
1,DL,BWI,ATL,-10.0,0,departure,9.1,7.7,91,1003.0,19.8,40.3,0.0,0.0,100,3,8,12,29,0.0
2,DL,BWI,ATL,-19.0,0,departure,-1.5,-10.2,52,1009.2,19.8,54.4,0.0,0.0,24,1,8,12,30,0.0
3,DL,BWI,ATL,-32.0,0,departure,-3.3,-10.9,56,1013.8,10.9,23.8,0.0,0.0,100,3,8,12,31,0.0
4,DL,BWI,ATL,-4.0,0,departure,-0.4,-3.5,80,1023.5,5.7,10.1,0.0,0.0,58,2,7,12,18,0.0
5,DL,BWI,ATL,8.0,0,departure,11.3,10.7,96,1006.6,22.5,42.5,0.9,0.0,100,53,7,12,19,0.0
6,DL,BWI,ATL,-18.0,0,departure,-1.1,-9.1,55,1020.8,11.6,33.1,0.0,0.0,12,0,7,12,20,0.0
7,DL,BWI,ATL,-9.0,0,departure,4.2,-2.9,60,1016.2,15.4,32.4,0.0,0.0,32,1,7,12,21,0.0
1,DL,BWI,ATL,4.0,0,departure,-2.1,-7.8,65,1033.5,5.9,12.2,0.0,0.0,0,0,7,12,22,0.0
2,DL,BWI,ATL,-26.0,0,departure,2.8,-4.0,61,1027.9,9.8,18.4,0.0,0.0,100,3,7,12,23,0.0
3,DL,BWI,ATL,-8.0,0,departure,4.7,2.0,83,1016.3,6.5,15.1,0.0,0.0,6,0,7,12,24,0.0
4,DL,BWI,ATL,-22.0,0,departure,2.2,-0.8,81,1024.5,3.3,7.9,0.0,0.0,100,3,7,12,25,0.0
5,DL,BWI,ATL,-16.0,0,departure,0.6,-7.2,56,1023.2,11.8,25.9,0.0,0.0,52,2,7,12,26,0.0
6,DL,BWI,ATL,-8.0,0,departure,1.5,-0.1,89,1009.8,6.0,10.8,0.0,0.0,9,0,7,12,27,0.0
7,DL,BWI,ATL,4.0,0,departure,0.3,-1.6,87,1024.4,0.7,4.7,0.0,0.0,100,3,7,12,28,0.0
1,DL,BWI,ATL,-6.0,0,departure,8.1,6.7,91,1004.6,18.8,37.8,0.0,0.0,100,3,7,12,29,0.0
2,DL,BWI,ATL,4.0,0,departure,-0.6,-9.9,50,1008.7,25.8,58.0,0.0,0.0,42,1,7,12,30,0.0
3,DL,BWI,ATL,-25.0,0,departure,-3.5,-10.9,57,1014.0,11.5,28.4,0.0,0.0,100,3,7,12,31,0.0
4,DL,ATL,BWI,-14.0,0,arrival,6.1,3.0,81,1019.3,9.0,20.5,0.0,0.0,100,3,22,12,18,0.0
5,DL,ATL,BWI,50.0,0,arrival,4.8,-4.6,51,1007.1,27.4,64.8,0.0,0.0,70,2,22,12,19,1.0
6,DL,ATL,BWI,67.0,0,arrival,1.4,-3.7,69,1020.3,10.8,22.0,0.0,0.0,8,0,22,12,20,1.0
7,DL,ATL,BWI,2.0,0,arrival,5.2,-5.4,46,1025.9,16.5,42.1,0.0,0.0,4,0,22,12,21,0.0
1,DL,ATL,BWI,-12.0,0,arrival,0.6,-4.2,70,1033.0,6.2,10.8,0.0,0.0,76,2,22,12,22,0.0
2,DL,ATL,BWI,-1.0,0,arrival,5.8,3.1,83,1017.0,5.5,10.4,0.0,0.0,95,3,22,12,23,0.0
3,DL,ATL,BWI,-10.0,0,arrival,6.8,-0.4,60,1025.2,6.0,15.8,0.0,0.0,100,3,22,12,24,0.0
4,DL,ATL,BWI,-5.0,0,arrival,9.9,2.6,60,1015.4,11.9,22.7,0.0,0.0,100,3,22,12,25,0.0
5,DL,ATL,BWI,4.0,0,arrival,0.6,-4.3,70,1015.5,15.8,30.6,0.4,0.0,100,51,22,12,26,0.0
6,DL,ATL,BWI,44.0,0,arrival,1.4,-2.5,76,1021.5,5.2,15.5,0.0,0.0,65,2,22,12,27,1.0
7,DL,ATL,BWI,,1,arrival,4.2,1.0,79,1016.1,9.1,18.0,0.0,0.0,100,3,22,12,28,
1,DL,ATL,BWI,143.0,0,arrival,4.2,-5.8,48,1002.4,32.4,75.6,0.0,0.0,55,2,22,12,29,1.0
2,DL,ATL,BWI,0.0,0,arrival,-0.9,-10.1,50,1012.7,21.4,50.4,0.0,0.0,99,3,22,12,30,0.0
3,DL,ATL,BWI,-6.0,0,arrival,0.8,-7.6,54,1010.2,9.0,28.8,0.0,0.0,100,3,22,12,31,0.0
4,DL,BWI,DTW,-16.0,0,departure,-0.8,-4.1,78,1023.6,3.5,2.9,0.0,0.0,47,1,6,12,18,0.0
5,DL,BWI,DTW,,1,departure,10.9,10.2,96,1008.4,19.9,38.2,0.6,0.0,100,53,6,12,19,
6,DL,BWI,DTW,-6.0,0,departure,-0.2,-8.2,54,1020.2,16.2,38.2,0.0,0.0,53,2,6,12,20,0.0
7,DL,BWI,DTW,,1,departure,4.2,-2.4,62,1016.2,16.5,34.6,0.0,0.0,16,0,6,12,21,
1,DL,BWI,DTW,58.0,0,departure,-1.8,-7.9,63,1032.7,6.5,18.0,0.0,0.0,0,0,6,12,22,1.0
2,DL,BWI,DTW,4.0,0,departure,2.4,-4.7,59,1028.3,9.3,16.6,0.0,0.0,100,3,6,12,23,0.0
3,DL,BWI,DTW,-7.0,0,departure,4.6,1.6,81,1015.8,8.0,13.7,0.1,0.0,22,51,6,12,24,0.0
4,DL,BWI,DTW,-17.0,0,departure,2.4,-1.0,78,1024.7,4.9,11.9,0.0,0.0,100,3,6,12,25,0.0
5,DL,BWI,DTW,-11.0,0,departure,1.4,-6.3,57,1022.8,12.7,28.8,0.0,0.0,20,1,6,12,26,0.0
6,DL,BWI,DTW,-8.0,0,departure,1.2,0.3,93,1009.4,4.8,13.3,0.0,0.0,100,3,6,12,27,0.0
7,DL,BWI,DTW,-21.0,0,departure,-0.1,-1.9,88,1024.3,2.8,5.4,0.0,0.0,100,3,6,12,28,0.0
1,DL,BWI,DTW,195.0,0,departure,7.2,5.7,91,1006.4,15.7,38.2,0.0,0.0,100,3,6,12,29,1.0
2,DL,BWI,DTW,3.0,0,departure,-0.3,-9.2,51,1008.5,24.0,55.8,0.0,0.0,100,3,6,12,30,0.0
3,DL,BWI,DTW,-22.0,0,departure,-3.8,-11.9,53,1014.0,14.9,32.0,0.0,0.0,99,3,6,12,31,0.0
6,DL,ATL,BWI,9.0,0,arrival,3.2,-3.6,61,1021.2,9.8,20.5,0.0,0.0,25,1,21,12,20,0.0
7,DL,ATL,BWI,86.0,0,arrival,7.1,-6.2,38,1024.2,20.1,43.2,0.0,0.0,71,2,21,12,21,1.0
1,DL,ATL,BWI,26.0,0,arrival,3.2,-3.8,60,1033.2,5.7,11.5,0.0,0.0,30,1,21,12,22,1.0
2,DL,ATL,BWI,4.0,0,arrival,5.9,3.2,83,1017.5,3.9,6.8,0.0,0.0,100,3,21,12,23,0.0
3,DL,ATL,BWI,-1.0,0,arrival,10.9,-2.3,39,1023.9,10.6,27.4,0.0,0.0,83,3,20,12,24,0.0
4,DL,ATL,BWI,-6.0,0,arrival,12.6,5.4,62,1012.6,12.3,25.9,0.0,0.0,86,3,20,12,25,0.0
5,DL,ATL,BWI,1.0,0,arrival,0.6,-6.4,60,1016.8,12.7,28.8,0.1,0.0,100,51,21,12,26,0.0
6,DL,ATL,BWI,,1,arrival,3.8,-2.0,66,1020.8,7.6,25.6,0.0,0.0,80,3,21,12,27,
7,DL,ATL,BWI,55.0,0,arrival,4.2,0.8,78,1017.0,8.5,24.5,0.0,0.0,100,3,21,12,28,1.0
1,DL,ATL,BWI,6.0,0,arrival,7.4,-4.7,42,999.9,31.1,68.4,0.0,0.0,61,2,21,12,29,0.0
2,DL,ATL,BWI,3.0,0,arrival,-0.2,-10.4,46,1011.9,23.7,59.0,0.0,0.0,100,3,21,12,30,0.0
3,DL,ATL,BWI,-1.0,0,arrival,1.5,-9.1,45,1010.7,19.0,41.0,0.0,0.0,80,3,20,12,31,0.0
4,DL,ATL,BWI,-14.0,0,arrival,-0.2,-3.1,81,1024.2,6.3,10.4,0.0,0.0,70,2,9,12,18,0.0
4,DL,BWI,ATL,-10.0,0,departure,-1.4,-3.0,88,1024.8,6.4,10.8,0.0,0.0,0,0,12,12,18,0.0
5,DL,ATL,BWI,-8.0,0,arrival,12.3,11.8,97,1002.0,31.8,64.4,4.6,0.0,100,63,9,12,19,0.0
5,DL,BWI,ATL,11.0,0,departure,13.9,13.2,96,996.6,20.2,58.7,1.2,0.0,100,55,12,12,19,0.0
6,DL,ATL,BWI,16.0,0,arrival,-2.7,-9.9,58,1022.9,8.4,21.2,0.0,0.0,10,0,9,12,20,1.0
6,DL,BWI,ATL,-7.0,0,departure,-3.0,-8.8,65,1024.2,9.4,21.6,0.0,0.0,92,3,12,12,20,0.0
7,DL,ATL,BWI,29.0,0,arrival,3.2,-3.0,64,1016.4,12.4,24.1,0.0,0.0,2,0,9,12,21,1.0
7,DL,BWI,ATL,13.0,0,departure,3.5,-3.1,62,1017.6,11.3,27.4,0.0,0.0,94,3,12,12,21,0.0
1,DL,ATL,BWI,-17.0,0,arrival,-2.8,-7.4,70,1034.3,4.5,9.7,0.0,0.0,0,0,9,12,22,0.0
1,DL,BWI,ATL,-9.0,0,departure,-3.7,-8.6,69,1035.2,3.7,7.9,0.0,0.0,0,0,12,12,22,0.0
2,DL,ATL,BWI,-9.0,0,arrival,3.2,-3.0,64,1026.5,7.8,18.7,0.6,0.42,100,73,9,12,23,0.0
2,DL,BWI,ATL,-21.0,0,departure,2.7,-1.1,76,1024.0,12.5,28.8,1.1,0.49,100,73,12,12,23,0.0
3,DL,ATL,BWI,-3.0,0,arrival,5.2,3.2,86,1016.7,8.0,13.7,0.0,0.0,5,0,8,12,24,0.0
3,DL,BWI,ATL,-23.0,0,departure,6.6,0.8,66,1019.5,11.9,36.0,0.0,0.0,2,0,12,12,24,0.0
4,DL,ATL,BWI,0.0,0,arrival,2.5,-1.2,76,1023.7,5.3,9.7,0.0,0.0,99,3,8,12,25,0.0
4,DL,BWI,ATL,-30.0,0,departure,1.7,-2.0,76,1020.5,3.8,10.1,0.0,0.0,97,3,12,12,25,0.0
5,DL,ATL,BWI,,1,arrival,-0.7,-7.3,61,1023.6,10.7,22.3,0.0,0.0,95,3,9,12,26,
5,DL,BWI,ATL,,1,departure,-1.5,-7.8,62,1023.7,9.8,20.9,0.0,0.0,100,3,12,12,26,
6,DL,ATL,BWI,,1,arrival,1.1,-0.6,88,1011.6,9.0,18.0,0.0,0.0,55,2,9,12,27,
6,DL,BWI,ATL,,1,departure,1.5,-0.8,84,1015.6,6.7,16.2,0.0,0.0,100,3,12,12,27,
7,DL,ATL,BWI,,1,arrival,0.1,-1.7,88,1023.8,3.3,5.8,0.0,0.0,100,3,9,12,28,
7,DL,BWI,ATL,,1,departure,0.1,-1.9,87,1023.4,6.0,9.7,0.0,0.0,100,3,12,12,28,
1,DL,ATL,BWI,-6.0,0,arrival,9.9,8.4,90,1001.6,19.6,40.7,0.0,0.0,100,3,9,12,29,0.0
1,DL,BWI,ATL,-12.0,0,departure,11.8,10.0,89,998.0,21.1,46.1,0.0,0.0,100,3,12,12,29,0.0
2,DL,ATL,BWI,-10.0,0,arrival,-2.0,-10.3,53,1009.8,19.4,42.1,0.0,0.0,86,3,9,12,30,0.0
2,DL,BWI,ATL,-18.0,0,departure,-1.5,-11.9,45,1011.3,23.7,40.0,0.0,0.0,91,3,12,12,30,0.0
3,DL,ATL,BWI,5.0,0,arrival,-3.3,-10.9,56,1013.8,10.9,23.8,0.0,0.0,100,3,8,12,31,0.0
3,DL,BWI,ATL,-24.0,0,departure,-3.2,-8.8,65,1013.9,9.8,22.0,0.0,0.0,88,3,11,12,31,0.0
6,DL,BWI,DTW,-14.0,0,departure,-3.0,-8.8,65,1024.2,9.4,21.6,0.0,0.0,92,3,12,12,20,0.0
6,DL,DTW,BWI,-3.0,0,arrival,-3.0,-9.7,60,1023.8,5.8,16.9,0.0,0.0,0,0,10,12,20,0.0
7,DL,BWI,DTW,-10.0,0,departure,3.5,-3.1,62,1017.6,11.3,27.4,0.0,0.0,94,3,12,12,21,0.0
7,DL,DTW,BWI,-20.0,0,arrival,3.1,-3.2,64,1016.7,13.2,25.2,0.0,0.0,9,0,10,12,21,0.0
1,DL,BWI,DTW,-1.0,0,departure,-3.7,-8.6,69,1035.2,3.7,7.9,0.0,0.0,0,0,12,12,22,0.0
1,DL,DTW,BWI,-13.0,0,arrival,-3.0,-7.6,70,1034.6,4.6,8.3,0.0,0.0,1,0,10,12,22,0.0
2,DL,BWI,DTW,-25.0,0,departure,2.7,-1.1,76,1024.0,12.5,28.8,1.1,0.49,100,73,12,12,23,0.0
2,DL,DTW,BWI,-26.0,0,arrival,2.6,-2.7,68,1025.1,7.3,16.6,1.7,1.12,100,75,10,12,23,0.0
3,DL,BWI,DTW,-29.0,0,departure,6.6,0.8,66,1019.5,11.9,36.0,0.0,0.0,2,0,12,12,24,0.0
3,DL,DTW,BWI,-25.0,0,arrival,7.6,5.4,86,1018.0,15.2,28.8,0.0,0.0,2,0,10,12,24,0.0
4,DL,BWI,DTW,-22.0,0,departure,1.7,-2.0,76,1020.5,3.8,10.1,0.0,0.0,97,3,12,12,25,0.0
4,DL,DTW,BWI,-29.0,0,arrival,1.5,-2.2,77,1021.1,6.0,11.2,0.0,0.0,22,1,10,12,25,0.0
5,DL,BWI,DTW,65.0,0,departure,-1.5,-7.8,62,1023.7,9.8,20.9,0.0,0.0,100,3,12,12,26,1.0
5,DL,DTW,BWI,65.0,0,arrival,-1.2,-7.3,63,1023.6,9.0,22.0,0.0,0.0,98,3,10,12,26,1.0
6,DL,BWI,DTW,-13.0,0,departure,1.5,-0.8,84,1015.6,6.7,16.2,0.0,0.0,100,3,12,12,27,0.0
6,DL,DTW,BWI,-22.0,0,arrival,0.9,-0.7,89,1012.6,8.8,17.3,0.0,0.0,9,0,10,12,27,0.0
7,DL,BWI,DTW,38.0,0,departure,0.1,-1.9,87,1023.4,6.0,9.7,0.0,0.0,100,3,12,12,28,1.0
7,DL,DTW,BWI,30.0,0,arrival,0.0,-2.0,87,1023.2,4.6,8.3,0.0,0.0,100,3,10,12,28,1.0
1,DL,BWI,DTW,-6.0,0,departure,11.8,10.0,89,998.0,21.1,46.1,0.0,0.0,100,3,12,12,29,0.0
1,DL,DTW,BWI,-3.0,0,arrival,10.4,8.9,90,999.7,20.1,41.0,0.0,0.0,100,3,10,12,29,0.0
2,DL,BWI,DTW,-6.0,0,departure,-1.5,-11.9,45,1011.3,23.7,40.0,0.0,0.0,91,3,12,12,30,0.0
2,DL,DTW,BWI,-7.0,0,arrival,-2.1,-10.2,54,1010.4,16.2,42.5,0.0,0.0,88,3,10,12,30,0.0
3,DL,BWI,DTW,9.0,0,departure,-3.2,-9.6,61,1014.7,13.2,23.8,0.0,0.0,99,3,12,12,31,0.0
3,DL,DTW,BWI,23.0,0,arrival,-3.4,-9.1,64,1013.8,10.4,23.8,0.2,0.14,100,71,10,12,31,1.0
4,DL,ATL,BWI,51.0,0,arrival,-0.4,-3.5,80,1023.5,5.7,10.1,0.0,0.0,58,2,7,12,18,1.0
4,DL,BWI,ATL,223.0,0,departure,0.1,-2.7,82,1024.4,6.9,11.2,0.0,0.0,17,0,10,12,18,1.0
5,DL,ATL,BWI,-10.0,0,arrival,11.3,10.7,96,1006.6,22.5,42.5,0.9,0.0,100,53,7,12,19,0.0
5,DL,BWI,ATL,-8.0,0,departure,12.2,11.7,97,999.3,36.2,70.9,2.7,0.0,98,63,10,12,19,0.0
7,DL,ATL,BWI,,1,arrival,4.2,-2.9,60,1016.2,15.4,32.4,0.0,0.0,32,1,7,12,21,
7,DL,BWI,ATL,,1,departure,3.1,-3.2,64,1016.7,13.2,25.2,0.0,0.0,9,0,10,12,21,
1,DL,ATL,BWI,-17.0,0,arrival,-2.1,-7.8,65,1033.5,5.9,12.2,0.0,0.0,0,0,7,12,22,0.0
1,DL,BWI,ATL,-23.0,0,departure,-3.0,-7.6,70,1034.6,4.6,8.3,0.0,0.0,1,0,10,12,22,0.0
2,DL,ATL,BWI,-2.0,0,arrival,2.8,-4.0,61,1027.9,9.8,18.4,0.0,0.0,100,3,7,12,23,0.0
2,DL,BWI,ATL,-19.0,0,departure,2.6,-2.7,68,1025.1,7.3,16.6,1.7,1.12,100,75,10,12,23,0.0
5,DL,ATL,BWI,8.0,0,arrival,0.6,-7.2,56,1023.2,11.8,25.9,0.0,0.0,52,2,7,12,26,0.0
5,DL,BWI,ATL,-7.0,0,departure,-1.2,-7.3,63,1023.6,9.0,22.0,0.0,0.0,98,3,10,12,26,0.0
7,DL,ATL,BWI,12.0,0,arrival,0.3,-1.6,87,1024.4,0.7,4.7,0.0,0.0,100,3,7,12,28,0.0
7,DL,BWI,ATL,-10.0,0,departure,0.0,-2.0,87,1023.2,4.6,8.3,0.0,0.0,100,3,10,12,28,0.0
1,DL,ATL,BWI,-9.0,0,arrival,8.1,6.7,91,1004.6,18.8,37.8,0.0,0.0,100,3,7,12,29,0.0
1,DL,BWI,ATL,-6.0,0,departure,10.4,8.9,90,999.7,20.1,41.0,0.0,0.0,100,3,10,12,29,0.0
2,DL,ATL,BWI,0.0,0,arrival,-0.6,-9.9,50,1008.7,25.8,58.0,0.0,0.0,42,1,7,12,30,0.0
2,DL,BWI,ATL,-19.0,0,departure,-2.1,-10.2,54,1010.4,16.2,42.5,0.0,0.0,88,3,10,12,30,0.0
4,DL,ATL,BWI,11.0,0,arrival,-0.6,-2.6,87,1024.5,6.4,11.2,0.0,0.0,71,2,11,12,18,0.0
4,DL,BWI,ATL,2.0,0,departure,-0.3,-2.0,88,1025.4,7.1,9.4,0.0,0.0,0,0,13,12,18,0.0
5,DL,ATL,BWI,-6.0,0,arrival,11.9,11.6,98,998.2,28.6,70.9,3.0,0.0,100,63,11,12,19,0.0
5,DL,BWI,ATL,5.0,0,departure,14.4,13.6,96,996.2,20.8,45.7,1.1,0.0,100,55,13,12,19,0.0
6,DL,ATL,BWI,-9.0,0,arrival,-3.2,-9.6,61,1024.1,5.7,11.5,0.0,0.0,85,3,11,12,20,0.0
6,DL,BWI,ATL,5.0,0,departure,-1.2,-8.1,59,1026.2,3.6,11.5,0.0,0.0,30,1,14,12,20,0.0
7,DL,ATL,BWI,16.0,0,arrival,3.5,-3.3,61,1017.4,13.9,27.4,0.0,0.0,37,1,11,12,21,1.0
7,DL,BWI,ATL,31.0,0,departure,4.9,-2.5,59,1019.9,11.4,22.3,0.0,0.0,99,3,14,12,21,1.0
1,DL,ATL,BWI,-11.0,0,arrival,-3.2,-7.7,71,1034.8,4.4,8.6,0.0,0.0,2,0,11,12,22,0.0
1,DL,BWI,ATL,-17.0,0,departure,-1.5,-9.6,54,1036.2,3.4,10.8,0.0,0.0,2,0,14,12,22,0.0
2,DL,ATL,BWI,-4.0,0,arrival,2.6,-2.5,69,1024.0,10.1,22.7,0.5,0.35,100,73,11,12,23,0.0
2,DL,BWI,ATL,-10.0,0,departure,3.0,0.6,85,1022.5,8.8,20.9,0.0,0.0,100,3,14,12,23,0.0
3,DL,ATL,BWI,15.0,0,arrival,6.6,3.3,79,1019.1,17.3,33.8,0.0,0.0,21,1,11,12,24,1.0
3,DL,BWI,ATL,-15.0,0,departure,8.4,-0.2,55,1022.4,19.6,40.0,0.0,0.0,0,0,14,12,24,0.0
4,DL,ATL,BWI,0.0,0,arrival,1.0,-2.8,76,1021.0,5.8,10.8,0.0,0.0,13,0,11,12,25,0.0
4,DL,BWI,ATL,-24.0,0,departure,4.5,-1.9,63,1016.9,8.6,25.6,0.0,0.0,23,1,14,12,25,0.0
5,DL,ATL,BWI,-6.0,0,arrival,-1.8,-7.6,65,1023.5,9.1,18.0,0.0,0.0,100,3,11,12,26,0.0
5,DL,BWI,ATL,-26.0,0,departure,-1.1,-8.9,55,1024.5,6.2,21.6,0.0,0.0,100,3,14,12,26,0.0
6,DL,ATL,BWI,2.0,0,arrival,0.6,-1.0,89,1013.9,8.6,16.6,0.0,0.0,71,2,11,12,27,0.0
6,DL,BWI,ATL,-12.0,0,departure,1.9,-0.6,84,1018.3,9.6,19.4,0.0,0.0,100,3,14,12,27,0.0
7,DL,ATL,BWI,-10.0,0,arrival,-0.2,-2.0,87,1023.0,4.7,9.0,0.0,0.0,100,3,11,12,28,0.0
7,DL,BWI,ATL,-2.0,0,departure,1.1,-2.0,80,1023.1,8.1,18.7,0.0,0.0,100,3,14,12,28,0.0
1,DL,ATL,BWI,28.0,0,arrival,11.1,9.4,89,998.7,19.7,41.0,0.0,0.0,100,3,11,12,29,1.0
1,DL,BWI,ATL,39.0,0,departure,12.4,10.8,90,997.8,19.9,42.5,0.6,0.0,100,53,14,12,29,1.0
2,DL,ATL,BWI,11.0,0,arrival,-2.2,-10.2,54,1010.9,17.0,37.8,0.0,0.0,24,1,11,12,30,0.0
2,DL,BWI,ATL,-19.0,0,departure,-1.1,-12.0,43,1012.8,30.4,60.5,0.0,0.0,66,2,14,12,30,0.0
3,DL,ATL,BWI,-11.0,0,arrival,-3.2,-8.8,65,1013.9,9.8,22.0,0.0,0.0,88,3,11,12,31,0.0
3,DL,BWI,ATL,-24.0,0,departure,-2.3,-10.9,52,1015.0,13.8,29.2,0.0,0.0,63,2,14,12,31,0.0
4,DL,DTW,BWI,,1,arrival,8.1,4.6,79,1019.7,11.0,20.5,0.0,0.0,100,3,21,12,18,
5,DL,DTW,BWI,2.0,0,arrival,7.2,-2.8,49,1003.9,25.7,68.8,0.0,0.0,96,3,21,12,19,0.0
6,DL,DTW,BWI,,1,arrival,3.2,-3.6,61,1021.2,9.8,20.5,0.0,0.0,25,1,21,12,20,
7,DL,DTW,BWI,4.0,0,arrival,7.1,-6.2,38,1024.2,20.1,43.2,0.0,0.0,71,2,21,12,21,0.0
1,DL,DTW,BWI,-17.0,0,arrival,3.2,-3.8,60,1033.2,5.7,11.5,0.0,0.0,30,1,21,12,22,0.0
2,DL,DTW,BWI,-8.0,0,arrival,5.9,3.2,83,1017.5,3.9,6.8,0.0,0.0,100,3,21,12,23,0.0
3,DL,DTW,BWI,-20.0,0,arrival,9.6,-1.4,46,1024.7,7.6,23.4,0.0,0.0,100,3,21,12,24,0.0
4,DL,DTW,BWI,-29.0,0,arrival,11.6,4.8,63,1013.7,10.4,29.2,0.0,0.0,93,3,21,12,25,0.0
5,DL,DTW,BWI,-17.0,0,arrival,0.6,-6.4,60,1016.8,12.7,28.8,0.1,0.0,100,51,21,12,26,0.0
